pos	5pG>A
1	0.053372452631913
2	0.0343529864503706
3	0.0276408221812348
4	0.0234963424877797
5	0.0204455814945102
6	0.0182145215115305
7	0.016272488514904
8	0.0149922783145137
9	0.0137596525725448
10	0.0131013927588109
11	0.0124320065350999
12	0.0119009171166538
13	0.0114610904334547
14	0.011244099183865
15	0.010958611002785
16	0.0107777144678262
17	0.0106719985348379
18	0.0106618043021773
19	0.0104456843776712
20	0.0102984294462387
21	0.0104322965528185
22	0.0103800134646892
23	0.0101140593108416
24	0.0100023990866925
25	0.0099018547411662
