pos	5pG>A
1	0.151219512195122
2	0.178010471204188
3	0.0803571428571429
4	0.144200626959248
5	0.077720207253886
6	0.0521978021978022
7	0.0801186943620178
8	0.0597826086956522
9	0.0512048192771084
10	0.0342857142857143
11	0.0383561643835616
12	0.0381231671554252
13	0.0196078431372549
14	0.0292397660818713
15	0.0246153846153846
16	0.0362116991643454
17	0.0362694300518135
18	0.0332409972299169
19	0.0388059701492537
20	0.0356234096692112
21	0.0227920227920228
22	0.0368098159509202
23	0.0229226361031519
24	0.0357142857142857
25	0.0342105263157895
