pos	5pC>T
1	0.212903225806452
2	0.123076923076923
3	0.0805369127516778
4	0.0604026845637584
5	0.0476190476190476
6	0.0238095238095238
7	0.0610687022900763
8	0.0222222222222222
9	0.041958041958042
10	0.0373134328358209
11	0.0126582278481013
12	0.0229007633587786
13	0.0357142857142857
14	0.00694444444444444
15	0.00666666666666667
16	0.0542635658914729
17	0.0189873417721519
18	0.0352112676056338
19	0.0222222222222222
20	0.0324675324675325
21	0.0272108843537415
22	0.0236220472440945
23	0.0364963503649635
24	0.00826446280991736
25	0.00847457627118644
