pos	5pG>A
1	0.184971098265896
2	0.184210526315789
3	0.089041095890411
4	0.208
5	0.0551724137931034
6	0.099236641221374
7	0.0656934306569343
8	0.0479452054794521
9	0.0373134328358209
10	0.00735294117647059
11	0.0514705882352941
12	0.0405405405405405
13	0.0204081632653061
14	0.0155038759689922
15	0.0546875
16	0.00735294117647059
17	0.0220588235294118
18	0.0428571428571429
19	0.0170940170940171
20	0.0305343511450382
21	0.0165289256198347
22	0.0298507462686567
23	0.00757575757575758
24	0.0234375
25	0
