pos	5pG>A
1	0.115220483641536
2	0.160849772382398
3	0.0731292517006803
4	0.118829981718464
5	0.0421585160202361
6	0.0372250423011844
7	0.0195439739413681
8	0.0136054421768707
9	0.0167910447761194
10	0.0198915009041591
11	0.0186440677966102
12	0.0273722627737226
13	0.0143540669856459
14	0.0220713073005093
15	0.0173010380622837
16	0.0215946843853821
17	0.0255536626916525
18	0.019538188277087
19	0.0157894736842105
20	0.0135823429541596
21	0.0220994475138122
22	0.0209923664122137
23	0.0147299509001637
24	0.0157342657342657
25	0.0176282051282051
