pos	5pC>T
1	0.11864406779661
2	0.0406189555125725
3	0.017636684303351
4	0.0106951871657754
5	0.0167910447761194
6	0.0171428571428571
7	0.0104529616724739
8	0.00637958532695375
9	0.00897666068222621
10	0.0101867572156197
11	0.00668896321070234
12	0.0103626943005181
13	0.0067001675041876
14	0.00643086816720257
15	0.013745704467354
16	0.00687285223367698
17	0.0120898100172712
18	0.015929203539823
19	0.0178282009724473
20	0.021558872305141
21	0.00884955752212389
22	0.0132450331125828
23	0.0114754098360656
24	0.0212765957446809
25	0.0149501661129568
