pos	5pG>A
1	0.0474781374529177
2	0.0315788420235522
3	0.0257773032722138
4	0.0230463689503334
5	0.0199474973294323
6	0.0182889040984808
7	0.0165505495560556
8	0.0155502428174267
9	0.0145324217629462
10	0.0140742632858834
11	0.0135932442893952
12	0.0131943282424968
13	0.0128909878250391
14	0.0126250932786099
15	0.0124879943173102
16	0.0124084831830652
17	0.0123659230877466
18	0.0122089791807902
19	0.0124032230235834
20	0.0125434041638192
21	0.0126320872021228
22	0.0126477960351419
23	0.0126464525815054
24	0.012540062327687
25	0.0124458233418004
