pos	5pC>T
1	0.0708807769591427
2	0.0603897121563028
3	0.0476028986541963
4	0.0393845726391831
5	0.0330620635756639
6	0.028516983150575
7	0.0246604246340498
8	0.0220345627388847
9	0.0200746889320135
10	0.0190200976310591
11	0.0171495281002335
12	0.0166176301385624
13	0.0159114493254929
14	0.0159469096671949
15	0.0156197794854661
16	0.0149770909628365
17	0.0155470186498555
18	0.0138260185002952
19	0.015310550361067
20	0.0140447131100416
21	0.0129963057875994
22	0.0132905666584423
23	0.0139019909637059
24	0.013118045954309
25	0.0131904643242794
