pos	5pC>T
1	0.100348378595475
2	0.0867289633584975
3	0.0761005880331082
4	0.0651558332003374
5	0.0567167972118099
6	0.0500103280735
7	0.0458439023094596
8	0.0428343536174308
9	0.0399842765906702
10	0.0369610218791241
11	0.0360948901865629
12	0.034157497341526
13	0.0332920339783758
14	0.0327974850059085
15	0.0317210802095929
16	0.0309280645362349
17	0.0299872810879562
18	0.0290430830144794
19	0.0287854330010288
20	0.0287308713234639
21	0.0289949174932271
22	0.0274312418118216
23	0.0278003693535414
24	0.026879369644298
25	0.0265821015952867
