pos	5pC>T
1	0.239520958083832
2	0.171052631578947
3	0.146853146853147
4	0.0545454545454545
5	0.087248322147651
6	0.0535714285714286
7	0.0531914893617021
8	0.0546448087431694
9	0.0416666666666667
10	0.0635838150289017
11	0.0628930817610063
12	0.0429447852760736
13	0.0182926829268293
14	0.0397727272727273
15	0.0476190476190476
16	0.01875
17	0.029585798816568
18	0.0198675496688742
19	0.0113636363636364
20	0.0164835164835165
21	0.0368098159509202
22	0.0121951219512195
23	0.0116959064327485
24	0.00657894736842105
25	0.0314465408805031
