pos	5pG>A
1	0.213270142180095
2	0.23728813559322
3	0.114285714285714
4	0.149350649350649
5	0.114942528735632
6	0.101123595505618
7	0.0740740740740741
8	0.109756097560976
9	0.0641025641025641
10	0.0869565217391304
11	0.0256410256410256
12	0.049079754601227
13	0.0479041916167665
14	0.0449438202247191
15	0.0368098159509202
16	0.064327485380117
17	0.0341463414634146
18	0.0238095238095238
19	0.0344827586206897
20	0.0388888888888889
21	0.062111801242236
22	0.0223463687150838
23	0.0359281437125748
24	0.0267379679144385
25	0.0535714285714286
