pos	5pC>T
1	0.152083333333333
2	0.114093959731544
3	0.11358024691358
4	0.0987654320987654
5	0.0978520286396181
6	0.0661157024793388
7	0.0603015075376884
8	0.050761421319797
9	0.061576354679803
10	0.0401002506265664
11	0.0488997555012225
12	0.0327102803738318
13	0.0395348837209302
14	0.0235294117647059
15	0.0440414507772021
16	0.0481927710843374
17	0.0250569476082005
18	0.0334928229665072
19	0.0311750599520384
20	0.0425531914893617
21	0.0235294117647059
22	0.0250569476082005
23	0.0251141552511416
24	0.025
25	0.036697247706422
