pos	5pG>A
1	0.114785992217899
2	0.2
3	0.112582781456954
4	0.195979899497487
5	0.0963302752293578
6	0.0856481481481482
7	0.0600461893764434
8	0.049438202247191
9	0.0420560747663551
10	0.0607476635514019
11	0.040650406504065
12	0.0518867924528302
13	0.0437956204379562
14	0.0454545454545455
15	0.040920716112532
16	0.0344827586206897
17	0.0513918629550321
18	0.0422535211267606
19	0.0396270396270396
20	0.0319634703196347
21	0.0480549199084668
22	0.0429292929292929
23	0.0338983050847458
24	0.0506024096385542
25	0.0352112676056338
