pos	5pC>T
1	0.0472511276852307
2	0.0384148377500531
3	0.0323309657780648
4	0.0275392623570761
5	0.0218732144688457
6	0.020415603353992
7	0.0182586886420638
8	0.0162789695254242
9	0.0147355470035337
10	0.0133593817335593
11	0.0132722913838422
12	0.0134915964577383
13	0.0135625295694685
14	0.0126697223903831
15	0.0123668992440023
16	0.0127494296687747
17	0.012329833871712
18	0.0125300034289633
19	0.0124434062923552
20	0.0119460556427122
21	0.0120850299227659
22	0.0111611684348205
23	0.0117550972785346
24	0.0110110400929692
25	0.0112617521833268
