pos	5pC>T
1	0.076880669979813
2	0.0694113586814704
3	0.0619140739746032
4	0.0534238084888878
5	0.0461702259939693
6	0.0406906269886966
7	0.0343024195325469
8	0.029950406095019
9	0.0274601870897871
10	0.0248027874160624
11	0.0225538705939793
12	0.0211111850816265
13	0.0203901041627609
14	0.0198450894871409
15	0.0185224498460885
16	0.0178067398994601
17	0.0169429582200392
18	0.0163343552776122
19	0.0163247949490436
20	0.0161277439312193
21	0.0153947203341673
22	0.0154870383456689
23	0.0153630447170321
24	0.0157998140316146
25	0.0164881708719066
