pos	5pC>T
1	0.0786163522012579
2	0.0588844759108962
3	0.0457727517501346
4	0.0488904299583911
5	0.0383015597920277
6	0.0316131237183869
7	0.02643831060858
8	0.0241496598639456
9	0.0257646276595745
10	0.0205514642918308
11	0.0187089162312489
12	0.019634394041977
13	0.0206682741991044
14	0.018448275862069
15	0.0175589602341195
16	0.0160876262194078
17	0.020370056017654
18	0.0220413699559173
19	0.0188291680931188
20	0.0172529313232831
21	0.0188938509103401
22	0.0154054511596411
23	0.0151386290185406
24	0.0165596485299088
25	0.0168654173764906
