pos	5pC>T
1	0.0354320855232579
2	0.0305859567703861
3	0.0283475195920357
4	0.0227972665148064
5	0.0205201705935818
6	0.0177998913786156
7	0.0157042929639281
8	0.0144974446337308
9	0.0146935132258784
10	0.0146267940944747
11	0.0136841923389257
12	0.0128160720471077
13	0.0122303527254485
14	0.0126727909773912
15	0.0133291406809566
16	0.013223082827437
17	0.0136815489591632
18	0.0139079199780762
19	0.0151426907396622
20	0.0154296173386476
21	0.0161552846654661
22	0.0169606277341851
23	0.0162962189989217
24	0.0164478858960689
25	0.017005616213765
