pos	5pC>T
1	0.196319018404908
2	0.163398692810458
3	0.113636363636364
4	0.12
5	0.0878378378378378
6	0.0738255033557047
7	0.0566037735849057
8	0.0119760479041916
9	0.0368098159509202
10	0.0459770114942529
11	0.0365853658536585
12	0.0451977401129944
13	0.0253164556962025
14	0.0448717948717949
15	0.0297619047619048
16	0.0404624277456647
17	0.0214285714285714
18	0.025974025974026
19	0.0592105263157895
20	0.0179640718562874
21	0.0192307692307692
22	0.0197368421052632
23	0.0529411764705882
24	0.0441988950276243
25	0.0251572327044025
