pos	5pG>A
1	0.0359416561924527
2	0.0311690637869445
3	0.0268589305620483
4	0.0242246333872202
5	0.0207548448681959
6	0.0193496219981793
7	0.0172859216459779
8	0.016387348508564
9	0.0154959726546636
10	0.0149400218102508
11	0.0145583403977177
12	0.0140342622495027
13	0.0137565551370116
14	0.0140151805131433
15	0.0137586344830901
16	0.0138090697092191
17	0.0139887915632162
18	0.0136900620550554
19	0.0138423991797097
20	0.0137385747910394
21	0.0137715917201999
22	0.0137102408741567
23	0.0134756720432017
24	0.0135682416524429
25	0.0134192865616528
