pos	5pG>A
1	0.0719016083254494
2	0.0530164533820841
3	0.051498127340824
4	0.0402193784277879
5	0.0443213296398892
6	0.0329289428076256
7	0.0238532110091743
8	0.0373831775700935
9	0.0310008857395926
10	0.0247131509267432
11	0.0245514636449481
12	0.0262697022767075
13	0.0267527675276753
14	0.0247252747252747
15	0.0280636108512629
16	0.0139794967381174
17	0.0297297297297297
18	0.0200546946216955
19	0.0245829675153644
20	0.0194862710363153
21	0.0319634703196347
22	0.020985401459854
23	0.0255009107468124
24	0.0217588395285585
25	0.0257589696412144
