pos	5pG>A
1	0.0359716093409943
2	0.0298845817381407
3	0.0262042815388261
4	0.0227542887173263
5	0.0195637687968482
6	0.0179106788899901
7	0.0161385057736365
8	0.0145765551994912
9	0.0136030234390086
10	0.0125395595069959
11	0.0121790773165453
12	0.0116834821743356
13	0.0114619589195549
14	0.0115766194673956
15	0.0114366391694102
16	0.0113673430451186
17	0.0112556024922462
18	0.0111339132565548
19	0.0108232881800239
20	0.0111072747563058
21	0.0111139325174652
22	0.0109247181416532
23	0.0108475641503563
24	0.0107321653031412
25	0.010292723449066
