pos	5pG>A
1	0.168831168831169
2	0.243589743589744
3	0.127272727272727
4	0.152173913043478
5	0.155172413793103
6	0.0746268656716418
7	0.0677966101694915
8	0.0344827586206897
9	0.09375
10	0.0882352941176471
11	0.0285714285714286
12	0
13	0.0816326530612245
14	0.0784313725490196
15	0.0273972602739726
16	0.0476190476190476
17	0.0136986301369863
18	0.0806451612903226
19	0.0819672131147541
20	0.0634920634920635
21	0.03125
22	0.0317460317460317
23	0.0363636363636364
24	0.0447761194029851
25	0.0317460317460317
