pos	5pG>A
1	0.0357360999072229
2	0.018658180834847
3	0.0140780011484891
4	0.01220819874522
5	0.0120540373424067
6	0.0119894398666664
7	0.0116558168469857
8	0.0115894140907321
9	0.0116522186350699
10	0.0117057449054998
11	0.0123019517121846
12	0.0126251630127556
13	0.0128634117578947
14	0.0135863418084249
15	0.013774319634047
16	0.0142281443580077
17	0.0143946253284822
18	0.0148827691894636
19	0.0154051559931753
20	0.0154823706883528
21	0.0159133111585855
22	0.0162239164270451
23	0.0161083721913707
24	0.0161280516204748
25	0.0160940446194664
