pos	5pG>A
1	0.18125
2	0.24113475177305
3	0.0855263157894737
4	0.140495867768595
5	0.105263157894737
6	0.0650406504065041
7	0.06
8	0.0378787878787879
9	0.0387596899224806
10	0.0416666666666667
11	0.0469798657718121
12	0.0227272727272727
13	0.0294117647058824
14	0.0487804878048781
15	0.0298507462686567
16	0.0308641975308642
17	0.0268456375838926
18	0.0245398773006135
19	0.0314465408805031
20	0.00740740740740741
21	0.0256410256410256
22	0.037037037037037
23	0.0347222222222222
24	0.036231884057971
25	0.0217391304347826
