pos	5pC>T
1	0.230769230769231
2	0.2
3	0.0909090909090909
4	0.1
5	0.0746268656716418
6	0.0416666666666667
7	0.0961538461538462
8	0.0671641791044776
9	0.0486111111111111
10	0.0642857142857143
11	0.0234375
12	0.0352112676056338
13	0.047244094488189
14	0.0220588235294118
15	0.0204081632653061
16	0.0072463768115942
17	0.0272108843537415
18	0.0193548387096774
19	0.0261437908496732
20	0.0215827338129496
21	0.0305343511450382
22	0.0078740157480315
23	0.0342465753424658
24	0.0142857142857143
25	0.0285714285714286
