pos	5pG>A
1	0.0743481064847643
2	0.0490245824996091
3	0.0388647363858258
4	0.0333088640117453
5	0.0276032760885188
6	0.0237232452119773
7	0.0211443987108767
8	0.018870330230779
9	0.0174170576483931
10	0.0161910022709139
11	0.0149706149539294
12	0.014456525106093
13	0.0139348317893407
14	0.0131597755225068
15	0.0130159449203685
16	0.0128889133344334
17	0.0125161742095569
18	0.0124613909894557
19	0.0124255544537991
20	0.0125498755243324
21	0.0122803673485968
22	0.0125174374597296
23	0.0119995140383723
24	0.0120758448893022
25	0.0121778146865065
