pos	5pG>A
1	0.0255031825219336
2	0.0132799863795011
3	0.0109366114003237
4	0.009328117611658
5	0.00910540449815374
6	0.00893831305077633
7	0.00851581508515815
8	0.0077176588377623
9	0.00756002326161004
10	0.00760819856151
11	0.00794148380355277
12	0.00783085356303837
13	0.00845291110011545
14	0.00893374141781785
15	0.00846362309776944
16	0.00848418665210635
17	0.00847597783841892
18	0.0082812305908658
19	0.0108484120740342
20	0.00917888441250986
21	0.00942965147675819
22	0.00979858464888405
23	0.0104631927212572
24	0.00882791777188329
25	0.00944141746038348
