pos	5pG>A
1	0.123087761674718
2	0.0972027972027972
3	0.0834620533415714
4	0.0703562404003369
5	0.0613896565337544
6	0.0548523206751055
7	0.0461315979754158
8	0.0455650651624198
9	0.0386890332589935
10	0.0342372881355932
11	0.0357300181097352
12	0.0352461832997889
13	0.0344913151364764
14	0.0336315197731828
15	0.029642630783482
16	0.0312608372553877
17	0.0301445557254921
18	0.028641490926925
19	0.0294160407075357
20	0.0289649088414036
21	0.0280070754716981
22	0.0313160611572686
23	0.0278752436647173
24	0.0263626471461074
25	0.0267532212058621
