pos	5pC>T
1	0.208791208791209
2	0.08
3	0.101010101010101
4	0.0459770114942529
5	0.0648148148148148
6	0.0707070707070707
7	0.0465116279069767
8	0.029126213592233
9	0.0333333333333333
10	0.0326086956521739
11	0.0101010101010101
12	0.0192307692307692
13	0.0222222222222222
14	0.02
15	0.0388349514563107
16	0.0108695652173913
17	0.0267857142857143
18	0.0104166666666667
19	0.0208333333333333
20	0.0194174757281553
21	0.0194174757281553
22	0.0103092783505155
23	0.0326086956521739
24	0.0126582278481013
25	0.0198019801980198
