pos	5pC>T
1	0.0567618097968341
2	0.0496470286227699
3	0.0396414136179915
4	0.031621053697562
5	0.0263530815702459
6	0.0222652705916971
7	0.0203798497823279
8	0.0185732875902047
9	0.0153333812501497
10	0.0154955981111032
11	0.0146241381778276
12	0.0155673904137649
13	0.0133988174709136
14	0.0136249551810685
15	0.0136434259079433
16	0.013054074270685
17	0.0134010979790473
18	0.0129177530220431
19	0.0117983553807651
20	0.0139937963204129
21	0.0127738100944255
22	0.0124121610200188
23	0.0128414774913428
24	0.0124494469619451
25	0.012074348716948
