pos	5pG>A
1	0.0451882480007855
2	0.0318895711792752
3	0.026285498494911
4	0.022427896343092
5	0.0195833464565551
6	0.0173849914600657
7	0.0159676095488374
8	0.0151180121615853
9	0.0140676990467098
10	0.0134057675316427
11	0.0132591381026881
12	0.0128393159432992
13	0.0125898711480655
14	0.0123269486061066
15	0.0122756485963385
16	0.0120029173757511
17	0.011653520435157
18	0.0114844100687131
19	0.0115668235128871
20	0.0114497199489079
21	0.0112441954479433
22	0.0119067065332415
23	0.0112533245264855
24	0.0113295113295113
25	0.0115066934473943
