pos	5pG>A
1	0.0525395639527167
2	0.0332249210785595
3	0.0260867908955271
4	0.0221352405851978
5	0.0194129119983265
6	0.0171745797392972
7	0.0155405372411335
8	0.0142283365621882
9	0.0130693108337676
10	0.0125309721389776
11	0.0121208586962725
12	0.0114936308435181
13	0.0114620977522764
14	0.0107174294959561
15	0.0106539746805296
16	0.0105762770370644
17	0.0104353596011845
18	0.0104809923694147
19	0.0103726851794258
20	0.0102854882310279
21	0.0104667921329392
22	0.0102885771941509
23	0.0100416735628549
24	0.00990824870063368
25	0.00972378683509083
