pos	5pC>T
1	0.0353623892154976
2	0.0301329066954519
3	0.0257787742426163
4	0.0225363236730322
5	0.019280024263764
6	0.0164822175381227
7	0.0147099756112606
8	0.0132709384873762
9	0.0119832144101562
10	0.0112574222046514
11	0.0107943371246777
12	0.0104318421893416
13	0.0102677603208311
14	0.0101662287781413
15	0.00983087773544964
16	0.0097401287979844
17	0.00947606083749489
18	0.00929791530233573
19	0.00903873199285416
20	0.00882857731298199
21	0.00872690772058738
22	0.00871094236275364
23	0.00853053356846984
24	0.00841078986187893
25	0.00832085951803652
