pos	5pG>A
1	0.0982800982800983
2	0.105047748976808
3	0.0576368876080692
4	0.0860719874804382
5	0.0385714285714286
6	0.0265625
7	0.0256024096385542
8	0.0171184022824536
9	0.0188679245283019
10	0.0160513643659711
11	0.0174165457184325
12	0.0186335403726708
13	0.0072463768115942
14	0.0139318885448916
15	0.0157728706624606
16	0.0248062015503876
17	0.0154929577464789
18	0.0155367231638418
19	0.0173501577287066
20	0.0127298444130127
21	0.0182926829268293
22	0.0169230769230769
23	0.0205198358413133
24	0.0295031055900621
25	0.0124223602484472
