pos	5pG>A
1	0.0716450475880642
2	0.0586070823060806
3	0.0506826343248188
4	0.0445664340199318
5	0.0382879351745649
6	0.0334193914967246
7	0.0290792570620298
8	0.0259045161878794
9	0.0230742617579421
10	0.0208799366848502
11	0.0188481923885479
12	0.0172116081333896
13	0.0163633230005995
14	0.0153137062761118
15	0.0144671514460523
16	0.0134836377035212
17	0.0128649126924483
18	0.012394246483634
19	0.0120006384022083
20	0.0115544230251292
21	0.0111284621507494
22	0.0107930945127999
23	0.0105643944096887
24	0.0103716257936491
25	0.0101308861776584
