pos	5pG>A
1	0.0966262045349782
2	0.0721694990068418
3	0.0628166385210204
4	0.0554003826783083
5	0.0499523231622746
6	0.0453823561405417
7	0.0415246559385651
8	0.0389075539178498
9	0.0368059204764407
10	0.0337688486201387
11	0.0307138179436804
12	0.0299330445057109
13	0.0277264325323475
14	0.0272199134010749
15	0.0264569964300576
16	0.0263260784569269
17	0.0256588675306602
18	0.0256110244409776
19	0.0249504691820339
20	0.0251098144627286
21	0.024540688196678
22	0.0251023132646138
23	0.0251069775565453
24	0.0255941096071602
25	0.0234769364664926
