pos	5pC>T
1	0.0723630901832758
2	0.0601208614282814
3	0.0523033323117321
4	0.0459374505004498
5	0.0382349086601363
6	0.0313845615387953
7	0.0259011850123382
8	0.022041930046711
9	0.0189746474161838
10	0.0168501056776668
11	0.0153184424471093
12	0.01394318723559
13	0.0130629247707968
14	0.0125679428279002
15	0.0118925673579204
16	0.0112137450123256
17	0.0107521101377326
18	0.0103528935831886
19	0.0100182734063819
20	0.00986221299506085
21	0.00974096270235273
22	0.00943833526503359
23	0.00954671849525031
24	0.00941903968122456
25	0.00938760608030491
