pos	5pG>A
1	0.0385086258762295
2	0.0321556395989103
3	0.0270262801558571
4	0.0234989541289809
5	0.0192412155037439
6	0.0163075050245636
7	0.0139975674032029
8	0.0124741238074359
9	0.0117007226326124
10	0.011053991107347
11	0.0110653730821606
12	0.0110587814474782
13	0.0111343483204464
14	0.0116400333433836
15	0.0115840951986697
16	0.011526561507224
17	0.0114259223909902
18	0.0113210987797527
19	0.0110605108162401
20	0.0110864745011086
21	0.0109149059354488
22	0.0109864472582857
23	0.0110612209961697
24	0.0106063738033972
25	0.010628503877774
