pos	5pC>T
1	0.179591836734694
2	0.108949416342412
3	0.140969162995595
4	0.0909090909090909
5	0.0917874396135266
6	0.072289156626506
7	0.0769230769230769
8	0.0616740088105727
9	0.0761904761904762
10	0.0363636363636364
11	0.0172413793103448
12	0.0522088353413655
13	0.0545454545454545
14	0.0447154471544715
15	0.0569105691056911
16	0.0273972602739726
17	0.0326530612244898
18	0.0588235294117647
19	0.048
20	0.0394736842105263
21	0.0577777777777778
22	0.0304347826086957
23	0.0728155339805825
24	0.00881057268722467
25	0.0269058295964126
