pos	5pG>A
1	0.0798214102284022
2	0.0616098188759425
3	0.0519474292887321
4	0.0458631811090768
5	0.0411108058907839
6	0.0374609840936525
7	0.0337169028879511
8	0.0314845975092147
9	0.0296721842547154
10	0.0278899479268159
11	0.0270978810285058
12	0.026286250682108
13	0.0253239187896876
14	0.0247285056639641
15	0.0243803337751656
16	0.0237375159743166
17	0.023751240862738
18	0.0237346063742926
19	0.0235883586226502
20	0.0234420083868017
21	0.0230447708136838
22	0.023483585968198
23	0.0233410186070218
24	0.0232383999094075
25	0.023053202084409
