pos	5pG>A
1	0.043138478143551
2	0.0331757505594038
3	0.027803549236314
4	0.0241897936679557
5	0.0206575891505439
6	0.018502552399665
7	0.0166406089160538
8	0.0154987409953754
9	0.0142746594758337
10	0.0135624293899825
11	0.0130122543620758
12	0.0126432859944692
13	0.0123030887789411
14	0.0122678460982693
15	0.0120075394041119
16	0.0119958148129416
17	0.0119505649687407
18	0.0116708879912285
19	0.011667998541902
20	0.0115496953553338
21	0.0114613718187301
22	0.0113455718037637
23	0.0110446722084133
24	0.0108131197782127
25	0.0106384760040187
