pos	5pG>A
1	0.151515151515152
2	0.208823529411765
3	0.0635838150289017
4	0.131832797427653
5	0.0515759312320917
6	0.0824175824175824
7	0.0494186046511628
8	0.0401146131805158
9	0.0462962962962963
10	0.0434782608695652
11	0.0215633423180593
12	0.0408719346049046
13	0.0140449438202247
14	0.0379008746355685
15	0.0359281437125748
16	0.0339943342776204
17	0.0248618784530387
18	0.0151975683890578
19	0.0435897435897436
20	0.0350877192982456
21	0.0385756676557863
22	0.0178571428571429
23	0.0357142857142857
24	0.0259365994236311
25	0.0251396648044693
