pos	5pC>T
1	0.0500747879779247
2	0.04157143601617
3	0.0329886334501325
4	0.0275944443593709
5	0.0216446673313591
6	0.0188039503101912
7	0.0150903680046454
8	0.0128237310745971
9	0.0121114568802089
10	0.0111175748174003
11	0.0106844449620076
12	0.0101185609157809
13	0.00965203810482528
14	0.00990667412488592
15	0.0102432117520391
16	0.0100861724175544
17	0.00991398268117353
18	0.00957717631956614
19	0.00961698735369786
20	0.0103721914709455
21	0.00941139997342664
22	0.00875651526433358
23	0.0087225619663801
24	0.00830146649341006
25	0.00818208866408807
