pos	5pC>T
1	0.0913976423806563
2	0.0744775538901105
3	0.0608827059650392
4	0.0505236290624317
5	0.0429349449977361
6	0.037008100438932
7	0.0323672751085999
8	0.029333375582689
9	0.0266208261929345
10	0.025039620776372
11	0.0237158896998724
12	0.0226457338862071
13	0.0221195820238617
14	0.0219895080383708
15	0.02077617045227
16	0.0204725680864042
17	0.0207316964643274
18	0.0206742810451711
19	0.0204602892939721
20	0.0207354185638352
21	0.0211377898946101
22	0.0213652027008636
23	0.0214127927664317
24	0.0211647711784012
25	0.021591928860849
