pos	5pG>A
1	0.167800453514739
2	0.193069306930693
3	0.113253012048193
4	0.198910081743869
5	0.0923076923076923
6	0.0725806451612903
7	0.0648379052369077
8	0.032520325203252
9	0.046448087431694
10	0.0428954423592493
11	0.0365853658536585
12	0.0289473684210526
13	0.0417690417690418
14	0.0342105263157895
15	0.0329113924050633
16	0.0183727034120735
17	0.0284974093264249
18	0.030690537084399
19	0.025974025974026
20	0.0246575342465753
21	0.0155844155844156
22	0.0303030303030303
23	0.0342298288508557
24	0.0381471389645777
25	0.0256410256410256
