pos	5pC>T
1	0.212435233160622
2	0.144200626959248
3	0.0980926430517711
4	0.0726744186046512
5	0.0617977528089888
6	0.053968253968254
7	0.0361757105943152
8	0.032
9	0.0447761194029851
10	0.0339425587467363
11	0.0408719346049046
12	0.0165745856353591
13	0.0252100840336134
14	0.0153846153846154
15	0.0276243093922652
16	0.0211640211640212
17	0.0143266475644699
18	0.028328611898017
19	0.0143266475644699
20	0.0230769230769231
21	0.0166666666666667
22	0.0224719101123595
23	0.021505376344086
24	0.0171428571428571
25	0.0105540897097625
