pos	5pG>A
1	0.0913950733529751
2	0.0714018691588785
3	0.0618926672767843
4	0.0524929124550454
5	0.0452522255192878
6	0.0405852553903817
7	0.036563423106159
8	0.0338156318819302
9	0.0307104320886375
10	0.0299451996021608
11	0.0283350812024032
12	0.0275938952083107
13	0.0269670930186512
14	0.0265939613860019
15	0.0263641029690461
16	0.0249007473143391
17	0.0250550129328649
18	0.0246013271387314
19	0.0243842988904705
20	0.0238772974929327
21	0.0233816864894817
22	0.0229485741510913
23	0.0221256849484129
24	0.0227701547975383
25	0.0217050183717825
