pos	5pG>A
1	0.0193610815134252
2	0.0159763969304928
3	0.013715620567869
4	0.0117073331375708
5	0.0104207309142931
6	0.00952168495737006
7	0.00881367882954345
8	0.00818361876877038
9	0.00774859049063611
10	0.00732995609591354
11	0.00715359508105692
12	0.00718904927663234
13	0.00646985720485994
14	0.00670771224886585
15	0.00644063940544611
16	0.00669583556979663
17	0.00646829131107289
18	0.00653393679812807
19	0.00638470473772582
20	0.00643514863091404
21	0.00625848493076296
22	0.00603572629364107
23	0.00608904726221987
24	0.00588171840025889
25	0.00604498201638117
