pos	5pG>A
1	0.0849381335745282
2	0.0698325778012626
3	0.0591553458936818
4	0.0492910288254408
5	0.0413259759174547
6	0.0348472422483648
7	0.0302937120255528
8	0.0264715028899752
9	0.0233792954949638
10	0.0209535100816042
11	0.0192658216659786
12	0.0176368338376698
13	0.0164716337433533
14	0.015465418253386
15	0.01482203818845
16	0.0141221217554104
17	0.0134329400633326
18	0.0131502827922607
19	0.0126480610870529
20	0.0123477195400907
21	0.0119792963753943
22	0.0115964052015949
23	0.0112566225057139
24	0.0108949397192421
25	0.0106016275860348
