pos	5pG>A
1	0.107523618385628
2	0.0789007177148114
3	0.0698919967313505
4	0.0577686385156138
5	0.0481017375506591
6	0.0412623593747123
7	0.0364369534683521
8	0.0329503987025274
9	0.0302713517118319
10	0.0279112584000736
11	0.0268916031389088
12	0.0246858294382714
13	0.0243640373613323
14	0.0228334052249583
15	0.0225992886781269
16	0.0209904405423754
17	0.0214008487794262
18	0.0202916182452063
19	0.0196922571759534
20	0.0191862876100078
21	0.0188024516737388
22	0.0191156648537576
23	0.01816791875873
24	0.0182004879840981
25	0.0178501846250905
