pos	5pC>T
1	0.0715299400563428
2	0.0621819509157666
3	0.0511215669110406
4	0.0446867877910073
5	0.0360789511836464
6	0.0312888816366492
7	0.0260481319825411
8	0.023192849037447
9	0.0223743563131212
10	0.0195556630781017
11	0.0195173307418205
12	0.0181361948671916
13	0.0166949047481301
14	0.0175898970847513
15	0.0168400707324094
16	0.0159422347524491
17	0.017263414139365
18	0.0168016316969244
19	0.0170805572380376
20	0.0173396386564811
21	0.0178314343301386
22	0.0149937096541341
23	0.0169302785969109
24	0.0178411761036369
25	0.0167521790195957
