pos	5pG>A
1	0.117241379310345
2	0.19047619047619
3	0.0769230769230769
4	0.136752136752137
5	0.0756302521008403
6	0.087719298245614
7	0.0601503759398496
8	0.0683760683760684
9	0.0423728813559322
10	0.0416666666666667
11	0.0416666666666667
12	0.0234375
13	0.0294117647058824
14	0.0573770491803279
15	0.0254237288135593
16	0.0692307692307692
17	0.00740740740740741
18	0.0350877192982456
19	0.0583941605839416
20	0.015748031496063
21	0.0378787878787879
22	0.0347826086956522
23	0.0551181102362205
24	0.0504201680672269
25	0.0263157894736842
