pos	5pG>A
1	0.0525255365007966
2	0.0387372418704011
3	0.0319179253348532
4	0.0307857610015883
5	0.024121801339081
6	0.024731684554363
7	0.0225171074533013
8	0.021802662708169
9	0.0193645852407984
10	0.018049869743208
11	0.0184226481973789
12	0.0170061840669334
13	0.0162459039091706
14	0.0158605017854658
15	0.0154713639964584
16	0.0156808165158896
17	0.0170420246110982
18	0.0149831727444562
19	0.0155859772453982
20	0.014741443452381
21	0.0154227228116091
22	0.0148688585149612
23	0.0151800045861041
24	0.0138593735563153
25	0.015116706487778
