pos	5pC>T
1	0.0701522170747849
2	0.0581867388362652
3	0.0435108777194299
4	0.0380818053596615
5	0.0299234516353514
6	0.0197010869565217
7	0.0318428184281843
8	0.028062970568104
9	0.0194174757281553
10	0.0221179624664879
11	0.0190718372536554
12	0.0225409836065574
13	0.0142566191446029
14	0.019876627827279
15	0.0184049079754601
16	0.0176701570680628
17	0.0212328767123288
18	0.0228531855955679
19	0.0141318977119785
20	0.0159500693481276
21	0.00801603206412826
22	0.00894085281980743
23	0.00980392156862745
24	0.0125
25	0.00970873786407767
