pos	5pG>A
1	0.233576642335766
2	0.189473684210526
3	0.16504854368932
4	0.135802469135802
5	0.0520833333333333
6	0.109756097560976
7	0.0761904761904762
8	0.03125
9	0.0824742268041237
10	0.0634920634920635
11	0.055045871559633
12	0.0927835051546392
13	0.102272727272727
14	0.032258064516129
15	0.0660377358490566
16	0.036697247706422
17	0.0833333333333333
18	0.036697247706422
19	0.0288461538461538
20	0.0476190476190476
21	0.0689655172413793
22	0.0526315789473684
23	0.0404040404040404
24	0.0485436893203883
25	0.0588235294117647
