pos	5pC>T
1	0.195876288659794
2	0.179775280898876
3	0.155555555555556
4	0.0752688172043011
5	0.115942028985507
6	0.0769230769230769
7	0.0769230769230769
8	0.107142857142857
9	0.0537634408602151
10	0.0405405405405405
11	0.0238095238095238
12	0.0833333333333333
13	0.0133333333333333
14	0.0459770114942529
15	0.04
16	0.0813953488372093
17	0.0128205128205128
18	0.0485436893203883
19	0.0568181818181818
20	0
21	0.0465116279069767
22	0.06
23	0.0232558139534884
24	0.025974025974026
25	0.0459770114942529
