pos	5pC>T
1	0.0530327762378633
2	0.0438750920029214
3	0.0376520390689881
4	0.0317207338594593
5	0.0266740614466755
6	0.0225112918558017
7	0.0199564012746803
8	0.0176905482282887
9	0.0161486598973669
10	0.015154289039697
11	0.0143978536875438
12	0.0138786402649786
13	0.0136098816005699
14	0.0135175019595122
15	0.0135307697984054
16	0.0134294090933657
17	0.0135463148862609
18	0.0131741734580803
19	0.0131753885434777
20	0.012938168763453
21	0.0125767582592065
22	0.0121561719948112
23	0.0118840368859261
24	0.0114720009434492
25	0.0112630137550888
