pos	5pC>T
1	0.182108626198083
2	0.115635179153094
3	0.100917431192661
4	0.0981387478849408
5	0.0944741532976827
6	0.0910683012259194
7	0.0710382513661202
8	0.0650557620817844
9	0.0556521739130435
10	0.0364298724954463
11	0.0383944153577661
12	0.054481546572935
13	0.0294117647058824
14	0.0383275261324042
15	0.0445632798573975
16	0.039344262295082
17	0.04
18	0.0347107438016529
19	0.0319327731092437
20	0.0438095238095238
21	0.0340136054421769
22	0.0309278350515464
23	0.0402097902097902
24	0.0337477797513321
25	0.0237691001697793
