pos	5pG>A
1	0.0765253627864953
2	0.0667798362585106
3	0.0587888697394199
4	0.0508234665395629
5	0.042631408549258
6	0.0382145050643848
7	0.0347737116742267
8	0.031878046039255
9	0.0291200010949942
10	0.0279681422485645
11	0.0266474266474266
12	0.0249677718764503
13	0.0248060944220836
14	0.0238936552378118
15	0.0230927549767377
16	0.0219590824976225
17	0.0218097400199669
18	0.0213954220089672
19	0.0215275119740966
20	0.0211685923458589
21	0.021046738850757
22	0.0205056082230788
23	0.0206505822467053
24	0.0196901688876469
25	0.0191158608088099
